"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT14","WT16","WT17","WT18"
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-16",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-17",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-18",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-19",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-20",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-21",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-22",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-23",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-24",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-25",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-26",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-28",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-29",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-30",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-05-31",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-01",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-08",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-09",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-10",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-12",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-14",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-15",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-16",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-17",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-18",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-19",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-20",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-21",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-22",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-23",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-24",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-25",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-26",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-28",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-29",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-06-30",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-01",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-08",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-09",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-10",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-12",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-14",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-15",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-16",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-17",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-18",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-19",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-20",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-21",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-22",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-23",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-24",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-25",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-26",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-27",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-28",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-29",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-30",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-07-31",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-01",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-02",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-03",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-04",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-05",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-06",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-07",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-08",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-09",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-10",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-11",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-12",,,"    1",,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-13",,,,,,,,,,,,,,,
"USC00292100","CORRALES, NM US","35.2488","-106.595","1531.9","1989-08-14",,,,,,,,,,,,,,,
