"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT14","WT15","WT16","WT17","WT18"
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-12",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-13",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-14",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-15",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-16",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-17","    1",,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-18",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-19",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-20",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-21",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-22",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-23",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-24",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-25",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-26",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-27","    1",,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-28",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-29",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-30",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-05-31",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-01",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-02",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-03",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-04",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-05",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-06",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-07",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-08",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-09",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-10",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-11",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-12",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-13",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-14",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-15",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-16",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-17",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-18",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-19",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-20",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-21",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-22",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-23",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-24",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-25",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-26",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-27",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-28",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-29",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-06-30",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-01",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-02",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-03","    1",,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-04",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-05",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-06",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-07",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-08",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-09",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-10","    1",,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-11",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-12",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-13",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-14",,,"    1",,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-15",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-16",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-17",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-18",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-19",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-20",,,,,,,,,,,,,,,,
"USC00126542","OGDEN DUNES, IN US","41.61667","-87.18333","185.9","1985-07-21",,,,,,,,,,,,,,,,
